Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
09/10/2015,Completed,09/10/2015,15-04695754,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1345 N MILWAUKEE AVE,60622,1164539.59269156,1909126.03327761,1,14,24,33,41.90636642090929,-87.67096428035548,"(41.90636642090929, -87.67096428035548)"
09/10/2015,Completed,09/10/2015,15-04695756,Graffiti Removal,Brick - Unpainted,Front,2903 S DAMEN AVE,60608,1163531.3501061,1884719.87000817,25,9,31,,41.83932232516897,-87.67526621535019,"(41.83932232516897, -87.67526621535019)"
09/10/2015,Completed,09/10/2015,15-04706974,Graffiti Removal,Wood - Painted,Door,2200 W CERMAK RD,60608,1162042.84947845,1889370.42157691,25,12,31,,41.8522075289737,-87.68080741474905,"(41.8522075289737, -87.68080741474905)"
09/10/2015,Completed,09/15/2015,15-04708018,Graffiti Removal,Metal - Painted,Mail Box,3124 W 47TH ST,60632,1156226.89989998,1873310.23377565,14,9,58,,41.8082534929259,-87.70262452074113,"(41.8082534929259, -87.70262452074113)"
09/10/2015,Completed,09/15/2015,15-04721105,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2060 N CALIFORNIA AVE,60647,1157364.62671184,1913787.54988703,1,14,22,,41.919208543288065,-87.69739690619572,"(41.919208543288065, -87.69739690619572)"
09/10/2015,Completed,09/10/2015,15-04695862,Graffiti Removal,Brick - Painted,Garage,3230 S BELL AVE,60608,1161808.179091,1883217.65202487,25,9,59,,41.835097785001196,-87.68185193501456,"(41.835097785001196, -87.68185193501456)"
09/10/2015,Completed,09/10/2015,15-04695841,Graffiti Removal,Brick - Painted,Front,3239 S OAKLEY AVE,60608,1161489.35000324,1883039.58001448,25,9,59,,41.834589411171194,-87.68267501751642,"(41.834589411171194, -87.68267501751642)"
09/10/2015,Completed,09/10/2015,15-04695839,Graffiti Removal,Metal - Painted,Dumpster,3234 W FOSTER AVE,60625,1153753.78008955,1934363.52690521,39,17,13,,41.97584015272843,-87.71011548431616,"(41.97584015272843, -87.71011548431616)"
09/10/2015,Completed,09/10/2015,15-04695836,Graffiti Removal,Brick - Unpainted,Front,2118 W NORTH AVE,60647,1161970.53989378,1910627.24280177,2,14,24,33,41.91053371044628,-87.68076736781386,"(41.91053371044628, -87.68076736781386)"
09/10/2015,Completed,09/10/2015,15-04695781,Graffiti Removal,Brick - Unpainted,Front,2301 S WESTERN AVE,60608,1160728.38732362,1888663.84167611,25,10,31,,41.85017185034384,-87.6854398717895,"(41.85017185034384, -87.6854398717895)"
09/10/2015,Completed,09/10/2015,15-04695759,Graffiti Removal,Brick - Painted,Front,1008 S MICHIGAN AVE,60605,1177415.20740968,1895965.38957414,4,1,32,,41.86972906796964,-87.62426806398348,"(41.86972906796964, -87.62426806398348)"
09/10/2015,Completed,09/10/2015,15-04695771,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1558 N MILWAUKEE AVE,60622,1163004.01848325,1910423.44219595,1,14,24,33,41.90973834112386,-87.67669265473931,"(41.90973834112386, -87.67669265473931)"
09/10/2015,Completed,09/10/2015,15-04695769,Graffiti Removal,Brick - Painted,Front,1016 S MICHIGAN AVE,60605,1177415.10740968,1895947.68957414,4,1,32,,41.86957511251426,-87.62427466437666,"(41.86957511251426, -87.62427466437666)"
09/10/2015,Completed,09/10/2015,15-04695768,Graffiti Removal,Metal - Painted,Dumpster,5206 N SAWYER AVE,60625,1153771.98008955,1934404.52690521,39,17,13,,41.975993818789526,-87.71004996515391,"(41.975993818789526, -87.71004996515391)"
09/10/2015,Completed,09/10/2015,15-04695827,Graffiti Removal,Brick - Painted,Front,3558 W CERMAK RD,60623,1152924.40008881,1889147.35999111,24,10,29,,41.85177430700239,-87.71470452013621,"(41.85177430700239, -87.71470452013621)"
09/10/2015,Completed,09/10/2015,15-04695808,Graffiti Removal,Brick - Unpainted,Front,2150 W NORTH AVE,60647,1162087.33989378,1910631.14280177,2,14,24,33,41.91051007502369,-87.6819394627436,"(41.91051007502369, -87.6819394627436)"
09/10/2015,Completed,09/10/2015,15-04695794,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1532 N MILWAUKEE AVE,60622,1163171.12000098,1910280.86001124,1,14,24,33,41.9092785587561,-87.67597394097034,"(41.9092785587561, -87.67597394097034)"
09/10/2015,Completed,09/10/2015,15-04695785,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1556 N MILWAUKEE AVE,60622,1163016.81848325,1910412.54219595,1,14,24,33,41.90970297340784,-87.676637368698,"(41.90970297340784, -87.676637368698)"
09/10/2015,Completed,09/10/2015,15-04695806,Graffiti Removal,Brick - Painted,Front,3440 S ARCHER AVE,60608,1163379.15198398,1881828.21568825,12,9,59,,41.83137894801543,-87.67626402214978,"(41.83137894801543, -87.67626402214978)"
09/10/2015,Completed,09/10/2015,15-04695797,Graffiti Removal,Brick - Unpainted,Front,2757 W 55TH ST,60632,1158852.69292258,1868066.9819124,15,8,63,,41.79358358477864,-87.6936494146877,"(41.79358358477864, -87.6936494146877)"
09/10/2015,Completed,09/10/2015,15-04695801,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1528 N MILWAUKEE AVE,60622,1163196.82000098,1910258.86001124,1,14,24,33,41.9092078226112,-87.67586337053818,"(41.9092078226112, -87.67586337053818)"
09/10/2015,Completed,09/10/2015,15-04695823,Graffiti Removal,Brick - Unpainted,Front,2120 W NORTH AVE,60647,1161957.53989378,1910626.84280177,2,14,24,33,41.910532234470324,-87.68084062347822,"(41.910532234470324, -87.68084062347822)"
09/10/2015,Completed,09/10/2015,15-04695815,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1530 N MILWAUKEE AVE,60622,1163183.92000098,1910269.86001124,1,14,24,33,41.90924319069685,-87.6759186557237,"(41.90924319069685, -87.6759186557237)"
09/10/2015,Completed,09/10/2015,15-04695817,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2132 W NORTH AVE,60647,1161879.73989378,1910624.24280177,2,14,24,33,41.91052337763263,-87.68128015740602,"(41.91052337763263, -87.68128015740602)"
09/10/2015,Completed,09/10/2015,15-04695816,Graffiti Removal,Brick - Painted,Front,3436 S ARCHER AVE,60608,1163409.85198398,1881853.41568825,12,9,59,,41.83144837301665,-87.67615051968437,"(41.83144837301665, -87.67615051968437)"
09/10/2015,Completed,09/10/2015,15-04706924,Graffiti Removal,Metal - Painted,Pole,2200 W CERMAK RD,60608,1162042.84947845,1889370.42157691,25,12,31,,41.8522075289737,-87.68080741474905,"(41.8522075289737, -87.68080741474905)"
09/10/2015,Completed,09/10/2015,15-04695853,Graffiti Removal,Brick - Painted,Front,3233 S OAKLEY AVE,60608,1161482.55000324,1883068.38001448,25,9,59,,41.83476328577766,-87.68277063044854,"(41.83476328577766, -87.68277063044854)"
09/10/2015,Completed,09/10/2015,15-04695859,Graffiti Removal,Brick - Unpainted,Front,160 S FRANKLIN ST,60606,1174353.77826927,1899587.6311035,42,1,32,,41.87942964743883,-87.63538533482011,"(41.87942964743883, -87.63538533482011)"
09/10/2015,Completed,09/10/2015,15-04695851,Graffiti Removal,Brick - Unpainted,Rear,850 W JACKSON BLVD,60607,1170604.672425,1898846.785,25,12,28,,41.878025780212944,-87.64923994797402,"(41.878025780212944, -87.64923994797402)"
09/10/2015,Completed,09/10/2015,15-04695845,Graffiti Removal,Brick - Painted,Front,2341 S OAKLEY AVE,60608,1161404.4496016,1888317.00880463,25,10,31,,41.849048631749255,-87.6829642700987,"(41.849048631749255, -87.6829642700987)"
09/10/2015,Completed,09/10/2015,15-04695844,Graffiti Removal,Brick - Unpainted,Front,2100 W NORTH AVE,60647,1162087.33989378,1910631.14280177,2,14,24,33,41.910546980784005,-87.68010806159964,"(41.910546980784005, -87.68010806159964)"
